Year,Zone,Area km2,MeanTotalHarvest,MeanSAK_Den,MeanBuckHar,MeanTotal Does,SDTotalHarvest,SDSAK_Den,SDBuckHar,SDTotal Does
1980,1,15726,775.8,NA,412.5333333,301.9333333,560.946367,NA,294.5952855,214.8467568
1981,1,15726,934.5,15.71428571,544.0714286,388.0714286,630.0013322,8.737673533,317.3842791,315.3629347
1982,1,15726,949.3571429,14.63636364,522.6363636,375.9090909,693.1927795,5.826137447,321.9032368,379.2549423
1983,1,15726,749.9285714,8.714285714,392.8571429,355.2142857,458.7967904,3.347249861,192.8136988,273.4376864
1984,1,15726,568.2142857,9.214285714,424.1428571,141.6428571,291.2427016,3.725943244,225.3840713,91.44210279
1985,1,15726,762.5714286,12,457.4285714,303.7142857,419.9661065,3.982102819,237.8023532,190.4061181
1986,1,15726,909,13.14285714,566.6428571,342.2857143,549.8528375,4.517539515,340.5702376,213.0474221
1987,1,15726,1255.142857,17,753.2857143,501.3571429,718.4180893,5.916079783,408.3577613,320.8191763
1988,1,15726,1612.285714,22.71428571,881,730.9285714,884.4170339,6.249897958,443.5841038,449.4468766
1989,1,15726,2015.928571,22.5,1051.142857,962.5714286,1002.344713,5.985100548,481.6192713,534.7227204
1990,1,15726,2506.5,25.78571429,1105.285714,1396.857143,1363.256487,7.042509409,535.602255,855.4364681
1991,1,15726,3478.357143,22.42857143,1160.071429,2310.571429,2197.414539,4.894811914,619.9382993,1591.10872
1992,1,15726,1877,15.42857143,756.3571429,1119.928571,900.9667823,2.411706145,326.9660548,612.5723822
1993,1,15726,725.5,15.78571429,567.2857143,157.7857143,247.6266631,2.365785023,200.949684,63.45659773
1994,1,15726,1263.142857,22.57142857,925.2857143,335.4285714,445.9419977,4.578120103,376.4344808,121.4076453
1995,1,15726,2679.285714,30.14285714,1424.785714,1253.071429,1213.833445,3.814579978,609.3595207,626.0301755
1996,1,15726,1798.642857,23.42857143,1007.785714,790.3571429,717.8598756,3.478798761,395.3689378,339.4418964
1997,1,15726,1530.642857,20.5,902.0714286,627.0714286,567.1211268,5.900968444,336.5918394,288.7382562
1998,1,15726,2561.714286,24.71428571,1290.428571,1270.642857,1167.2198,6.67006716,554.6700067,652.3630242
1999,1,15726,3131.142857,26.78571429,1473.714286,1656.142857,1337.812439,5.184848413,576.5139607,785.8889286
2000,1,15726,4573.214286,29.07142857,1598.785714,3037.785714,1963.900862,6.374774906,614.9129066,1282.787822
2001,1,15726,3117.533333,25.06666667,1395.733333,1722,1570.345052,8.053708601,667.3966803,983.7028684
2002,1,15726,2273.533333,19.53333333,922.8666667,1351.2,1205.239941,5.213657279,444.5961263,775.1940144
2003,1,15726,3109,26.53333333,1370.333333,1738.666667,1465.94843,5.264556539,636.9856792,925.2895523
2004,1,15726,3085.133333,21.33333333,949.3333333,2135.8,1509.999111,4.784233365,512.144077,1164.758871
2005,1,15726,2569.466667,24.06666667,1152.133333,1417.333333,1671.559865,4.611097724,591.9874849,1111.687526
2006,1,15726,2813.2,26.46666667,1142.4,1664.133333,1532.417358,6.141299175,611.6260077,922.265751
2007,1,15726,2972.866667,26.33333333,1213.666667,1759.2,1591.723589,6.139127698,611.1472999,997.1698752
2008,1,15726,2346.8,19.2,844.5333333,1502.266667,1349.600642,4.460194316,434.3720167,933.5950919
2009,1,15726,1615.066667,17.86666667,777.8666667,837.2,943.7972569,5.123366948,425.2710299,533.822842
2010,1,15726,1526.533333,22.8,843.0666667,683.4666667,1172.36046,6.090429651,421.9485698,841.8685461
2011,1,15726,1652.6,20.4,758.5333333,894.0666667,836.763272,5.413563214,371.6542958,509.7741286
2012,1,15726,1664.133333,22.26666667,803.2666667,860.8666667,846.7090698,7.028197177,402.9591322,450.7398165
2013,1,15726,NA,NA,NA,NA,NA,NA,NA,NA
2014,1,15726,NA,NA,NA,NA,NA,NA,NA,NA
2015,1,15726,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,15726,NA,NA,NA,NA,NA,NA,NA,NA
2017,1,15726,NA,NA,NA,NA,NA,NA,NA,NA
2018,1,15726,NA,NA,NA,NA,NA,NA,NA,NA
2019,1,15726,NA,NA,NA,NA,NA,NA,NA,NA
2020,1,15726,NA,NA,NA,NA,NA,NA,NA,NA
1980,2,14776,693.3571429,NA,433,171.7857143,357.2323388,NA,213.3622004,168.5294288
1981,2,14776,1018.428571,20.57142857,680.7857143,335.0714286,514.6172939,8.217701153,334.5393803,220.0296942
1982,2,14776,898.0714286,16,589.7857143,302.5714286,473.6483723,6.152815848,259.1624363,222.1086331
1983,2,14776,935.4285714,15.64285714,591.9285714,342.0714286,456.4560242,5.838384596,270.792874,203.6434083
1984,2,14776,1336.642857,21.78571429,857,475.2857143,722.1255933,9.366952328,428.1274844,301.4191265
1985,2,14776,1995.142857,21.85714286,924.4285714,1069.214286,1124.924496,6.80186049,443.5752013,693.4505007
1986,2,14776,1295.357143,17.5,782.7857143,512.2857143,505.3737806,5.261042808,306.90603,228.2437383
1987,2,14776,1762.428571,24.21428571,1010.785714,751.4285714,696.8107669,8.60380789,416.2087695,308.4126907
1988,2,14776,2425.142857,28.28571429,1163.714286,1260.428571,1001.230376,8.630747124,486.520801,530.0471292
1989,2,14776,3037.285714,29.78571429,1364.071429,1671.857143,1318.689037,9.009348886,569.1818018,785.6288525
1990,2,14776,3217.066667,30,1356.733333,1859.2,1505.934371,7.375635566,618.2197524,919.780568
1991,2,14776,3555,24.06666667,1090.4,2462.8,1538.91256,5.507167047,438.7437825,1106.870495
1992,2,14776,2841.933333,16.73333333,945.1333333,1895.2,1331.903073,4.725345372,416.3197276,928.168749
1993,2,14776,1145.2,23.06666667,875.4666667,269.7333333,445.0272201,6.433937795,352.839315,128.0434648
1994,2,14776,2096.733333,30.6,1232.466667,863.5333333,931.2608275,7.829857385,470.2953493,473.08757
1995,2,14776,3595.133333,36.26666667,1740.333333,1851.466667,1512.113658,9.175813618,642.3052926,916.6312866
1996,2,14776,2491.133333,23.73333333,1100.8,1385.466667,1056.977317,8.168775238,355.2501841,773.1626708
1997,2,14776,1605.266667,22.13333333,947.9333333,656.3333333,607.4841525,9.301373853,339.6037822,310.7390474
1998,2,14776,2716.2,32.26666667,1428,1287.4,1359.515021,13.08162409,484.9580051,942.6594861
1999,2,14776,3507,31.73333333,1542.066667,1964.266667,1124.169442,11.11435508,513.0383308,662.3836216
2000,2,14776,4436.133333,30.86666667,1531.733333,2900,1748.002245,11.96030472,499.9985956,1416.933214
